移    动,#genre#
CCTV1蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#http://39.134.230.196:9090/39.134.213.85/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226148/index.m3u8#http://223.110.247.161:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ/#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#http://39.135.34.134:8080/000000001000/1000000001000018602/1.m3u8?#http://112.50.243.8/PLTV/88888888/224/3221226908/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226154/1.m3u8#http://39.135.34.134:8080/000000001000/1000000001000021973/1.m3u8?#http://39.134.65.162/PLTV/88888888/224/3221225601/index.m3u8#http://39.135.34.134:8080/000000001000/1000000001000021973/1/index.m3u8?fmt=ts2hls#http://39.135.32.29:6610/000000001000/1000000001000021973/1.m3u8?#http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-cctv1/1.m3u8#http://39.134.59.91/PLTV/88888888/224/3221226415/index.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228318/42329859.smil/index.m3u8?fmt=ts2hls#http://39.134.52.153/PLTV/88888888/224/3221226415/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225755/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226721/index.m3u8#http://39.135.139.214:6610/PLTV/88888910/224/3221225642/index.m3u8#http://39.134.59.91/PLTV/88888888/224/3221226444/index.m3u8#http://39.134.59.91/PLTV/88888888/224/3221226443/index.m3u8#http://117.148.187.13/PLTV/88888888/224/3221226154/index.m3u8#http://183.251.61.207/PLTV/88888888/224/3221225922/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226154/index.m3u8#http://39.135.16.157:6610/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls#http://111.20.105.60:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8#http://39.134.134.62/otttv.bj.chinamobile.com/PLTV/8888888/224/3221226226/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/8888888/224/3221226155/1.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225686/index.m3u8#http://111.11.123.45:6610/030000001000/CCTV-1-HD/CCTV-1-HD.m3u8#http://111.63.118.168:6610/030000001001/HD-4000k-1080P-cctv1/1.m3u8#http://39.130.206.132:6410/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8#http://39.134.190.179:6610/030000001000/CCTV-1-HD/1.m3u8#http://111.20.41.249/PLTV/88888888/224/3221225829/index.m3u8
CCTV2蓝光,http://39.135.34.134:8080/000000001000/1000000001000023315/1.m3u8?#http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8#http://223.110.247.161:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226154/index.m3u8#http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-cctv2/1.m3u8#http://223.110.245.168/ott.js.chinamobile.com/PLTV/3/224/3221227207/index.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228348/42329899.smil/index.m3u8?fmt=ts2hls#http://39.134.52.153/PLTV/88888888/224/3221226417/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225746/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225691/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225696/index.m3u8#http://39.134.59.91/PLTV/88888888/224/3221226468/index.m3u8#http://39.134.59.91/PLTV/88888888/224/3221226417/index.m3u8#http://117.148.187.13/PLTV/88888888/224/3221226138/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226138/index.m3u8#http://223.110.245.148/ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8#http://111.20.41.249/PLTV/88888888/224/3221225831/index.m3u8
CCTV3蓝光,http://223.110.247.161:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ/#http://39.135.34.134:8080/000000001000/1000000001000013682/1.m3u8?#http://39.135.38.165:6610/000000001000/1000000001000011218/1.m3u8?#http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-cctv3/1.m3u8#http://223.110.245.158/ott.js.chinamobile.com/PLTV/3/224/3221227415/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225754/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226485/index.m3u8#http://39.135.15.210:6610/PLTV/88888888/224/3221226008/2/index.m3u8#http://39.135.33.167/PLTV/88888888/224/3221226367/index.m3u8#http://183.251.61.207/PLTV/88888888/224/3221225924/index.m3u8#http://183.207.249.14/PLTV/3/224/3221225588/index.m3u8#http://39.135.32.28:6610/000000001000/1000000001000013682/index.m3u8?i#http://39.134.67.144/PLTV/88888888/224/3221225688/index.m3u8
CCTV4蓝光,http://223.110.247.161:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ/#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8#http://[2409:8087:3400:20:1000::137]/ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8#http://39.135.38.165:6610/000000001000/1000000002000031664/1.m3u8?#http://39.134.59.91/PLTV/88888888/224/3221226432/index.m3u8#http://117.169.120.98:8080/ysten-businessmobile/live/cctv-4/1.m3u8#http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227549/index.m3u8#http://39.135.17.183:6610/PLTV/88888888/224/3221225744/1/1000.m3u8#http://39.135.17.182:6610/PLTV/88888888/224/3221225779/2/index.m3u8#http://39.134.52.153/PLTV/88888888/224/3221226432/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226176/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229749/01.m3u8?fmt=ts2hls#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8#http://111.20.41.248/PLTV/88888888/224/3221225814/index.m3u8
CCTV5蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://223.110.247.161:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ/#http://112.50.243.8/PLTV/88888888/224/3221226560/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226260/1.m3u8#http://39.135.38.165:6610/000000001000/1000000001000004794/1.m3u8?#http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-cctv5/1.m3u8#http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221227401/index.m3u8#http://223.110.245.140/ott.js.chinamobile.com/PLTV/3/224/3221227537/index.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229687/01.m3u8?fmt=ts2hls#http://223.110.243.172/PLTV/3/224/3221227166/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225753/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225685/index.m3u8#http://39.135.33.167/PLTV/88888888/224/3221226308/index.m3u8#http://111.48.37.20:6060/bestv/00000008000000000001000000000939/index.m3u8#http://117.156.28.21/PLTV/88888888/224/3221226035/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226687/index.m3u8#http://39.135.15.210:6610/PLTV/88888888/224/3221226024/2/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/8888888/224/3221226256/1.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001010/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://223.110.243.136/PLTV/4/224/3221227537/index.m3u8
CCTV5+蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8#http://223.110.247.161:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ/#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226349/1.m3u8#http://39.135.38.165:6610/000000001000/1000000001000020505/1.m3u8?#http://112.50.243.8/PLTV/88888888/224/3221225821/1.m3u8#http://117.169.120.98:8080/ysten-businessmobile/live/HD-8000k-1080P-cctv05plus/1.m3u8#http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221227480/index.m3u8#http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221227381/index.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229684/01.m3u8?fmt=ts2hls#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225752/index.m3u8#http://39.135.33.167/PLTV/88888888/224/3221226310/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225690/index.m3u8#http://39.134.62.84:6610/000000001000/reallive-cctv5plus/1.m3u8#http://39.134.59.91/PLTV/88888888/224/3221226445/index.m3u8#http://117.148.187.13/PLTV/88888888/224/3221226404/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226406/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001008/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://223.110.245.140/ott.js.chinamobile.com/PLTV/3/224/3221227537/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/8888888/224/3221226225/1.m3u8#http://223.110.243.136/PLTV/1/224/3221227502/index.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226349/index.m3u8#http://111.20.41.248/PLTV/88888888/224/3221225641/index.m3u8
CCTV6蓝光,http://39.135.34.134:8080/000000001000/1000000001000001737/1.m3u8?#http://39.135.38.165:6610/000000001000/1000000001000016466/1.m3u8?#http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-cctv6/1.m3u8##http://223.110.245.168/ott.js.chinamobile.com/PLTV/3/224/3221225548/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225751/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225687/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8#http://183.251.61.207/PLTV/88888888/224/3221225926/index.m3u8#http://39.135.15.210:6610/PLTV/88888888/224/3221226011/2/index.m3u8#http://39.135.32.28:6610/000000001000/1000000001000001737/index.m3u8?i#http://223.110.243.138/PLTV/1/224/3221227505/index.m3u8
CCTV7超清,http://39.135.38.165:6610/000000001000/7050628689018054317/1.m3u8?#http://112.50.243.8/PLTV/88888888/224/3221225927/1.m3u8#http://223.110.245.166/ott.js.chinamobile.com/PLTV/3/224/3221227493/index.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228330/42329865.smil/index.m3u8?fmt=ts2hls#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225671/index.m3u8#hhttp://39.135.33.167/PLTV/88888888/224/3221226369/index.m3u8#http://117.148.187.13/PLTV/88888888/224/3221226122/index.m3u8#http://183.251.61.207/PLTV/88888888/224/3221225927/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8
CCTV8蓝光,http://39.135.34.134:8080/000000001000/1000000001000031433/1.m3u8?#http://39.135.38.165:6610/000000001000/1000000001000003736/1.m3u8?#http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-cctv8/1.m3u8#http://39.134.67.144/PLTV/88888888/224/3221225692/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225750/index.m3u8#http://183.251.61.207/PLTV/88888888/224/3221225928/index.m3u8#http://39.135.15.210:6610/PLTV/88888888/224/3221226005/2/index.m3u8#http://223.110.243.135/PLTV/1/224/3221227473/index.m3u8#http://39.135.33.167/PLTV/88888888/224/3221226312/index.m3u8
CCTV9超清,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228342/42329996.smil/index.m3u8?fmt=ts2hls#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.59.91/PLTV/88888888/224/3221226470/index.m3u8#http://117.148.187.13/PLTV/88888888/224/3221226156/index.m3u8#http://117.148.187.13/PLTV/88888888/224/3221226199/index.m3u8#http://183.251.61.207/PLTV/88888888/224/3221225929/index.m3u8
